ProjectID,CompanyName,ProjectTitle,BME,CMPEN,CMPSC,DS,ED,EE,EGEE,ESC,IE,MATSE,ME,Confidentiality,IP,CourseTime,CourseName,PhysicalPrototype,
0545b198-27a6-4,ARCCA Incorporated,Measurement of Perception Reaction Time (PRT) during Cycling,3,1,3,0,0,2,0,0,0,0,3,0,0,T R 8:00 am-9:55 am,CMPEN 482,1,
166d8fb7-7682-4,Armstrong World Industries,Discrete Event Simulation Modeling of a Job-Shop Manufacturing Plant,0,0,0,0,0,0,0,0,1,0,2,1,0,T R 8:00 am-9:55 am,I E 480W.001,1,
2e32e832-f190-4,B. Braun Medical Inc,Computer Modelling Metadata Plan,0,0,0,0,0,0,0,0,2,0,1,1,1,T R 11:15 am-1:10 pm,M E 440.005,0,
02081040-8f70-4,Beehive Home Buyer,A Model for Residential Property Evaluation,0,0,2,1,0,0,0,0,0,0,0,0,1,T R 8:00 am-9:55 am,DS 440.001,0,
3f102941-d048-4,Bell Textron Inc.,Helicopter Safety Kit:  A Proximity Warning System for Alerting Ground Personnel When Approaching Conventional Open Tail Rotors in Operation,0,3,3,0,0,1,0,0,0,0,2,1,1,T R 8:00 am-9:55 am,E E 403W.001,1,
49513b89-b2d0-4,Deuxpan,Software development for 3-D printing,0,2,1,0,0,3,0,0,0,0,3,1,1,T R 8:00 am-9:55 am,CMPSC 483.001,0,
cd7dae9b-1ba1-4,Epic Energy,Data integration and visualization of public construction-related data to support energy improvements,0,0,2,1,0,0,0,0,0,0,0,0,1,T R 8:00 am-9:55 am,DS 440.001,0,
ca7b8a48-3bc3-4,Exelon Corporation,Nuclear Safety System Room Cooler Performance,0,3,0,0,0,1,0,0,0,0,2,0,0,T R 8:00 am-9:55 am,E E 403W.001,1,
ec0e90a5-6e71-4,Flowserve Inc,Harvesting Wave Energy Device,0,0,0,0,0,2,0,3,0,3,1,1,1,T R 8:00 am-9:55 am,EDSGN 460,1,
6000c744-9094-4,FORD MOTOR COMPANY,Biometric Monitoring Prioritization,2,1,0,3,0,3,0,0,0,0,3,1,1,T R 8:00 am-9:55 am,CMPEN 482,1,
9781e14d-fc40-4,G. M. McCrossin Inc.,Advanced Manufacturing for Concrete Construction,0,0,0,0,0,0,0,0,2,3,1,0,1,T R 8:00 am-9:55 am,EDSGN 460,1,
e53b5272-6e0c-4,GE-Hitachi Nuclear Energy Americas LLC,PRISM Carousel for Used Fuel Buffer Storage,0,0,0,0,0,0,0,0,2,3,1,1,1,T R 11:15 am-1:10 pm,M E 440.005,0,
0bcd7c8b-14cb-4,Hhg Drums 1,Snare drum and drum set lug strainer and butt plate design prototype and prepped for manufacturer - Team 1,0,0,0,0,0,0,0,0,2,0,1,0,0,T R 8:00 am-9:55 am,EDSGN 460,1,
0bcd7c8b-14cb-42,Hhg Drums 2,Snare drum and drum set lug strainer and butt plate design prototype and prepped for manufacturer - Team 2,0,0,0,0,0,0,0,0,2,0,1,0,0,T R 11:15 am-1:10 pm,M E 440.005,1,
b9eab711-8527-4,Janssen Research and Development,Patient/User Assistance Platform,3,2,3,0,0,1,0,0,0,0,0,1,1,T R 8:00 am-9:55 am,E E 403W.001,1,
724db9f0-e005-4,John Crane,Low temperature fracture mechanics and testing for 410 SS,0,0,0,0,0,2,0,0,0,1,3,1,0,T R 11:15 am-1:10 pm,MATSE 493,1,
